,Tweets
42,"yang diresmikan oleh Gubernur Jawa Timur, Ibu Khofifah Indar Parawansa pada Hari Kamis, 20 Oktober 2022. 

Gudang i… https://t.co/8Z4xZ8OWiJ"
43,Demi menjawab tantangan logistik antar pulau serta membantu pelaku usaha agar dapat memaksimalkan penjualannya ke s… https://t.co/mXIH87mQtl
44,"RT @TokopediaCare: HIIIY... pernah nggak sih kalian main papan ini pas Halloween?  

Ada yang tau nama papan ini? REPLIES BANYAK-BANYAK di…"
45,"Mau tampil kece di weekend? Yuk dapatkan koleksi UMKM dari #Inacraft, hanya di Tokopedia bisa dapetin Diskon hingga… https://t.co/yffbN0iW3O"
46,Toppersss!!! Mau kasih tau doang kalo ada lelang iPhone mulai dari 10rb doang. Aduh udah gabisa berkata-kata lagi d… https://t.co/bZ4quF1pTA
47,"Borong peralatan elektronik bisa tetap cuan, karena di #MegaElectrodeals ada Diskon s.d 80% dan Cashback yang bikin… https://t.co/Ikx1oEUBrc"
48,Gak perlu khawatir lagi pusing mikirin kuota bebas ongkir kalo udah berlangganan PLUS by GoTo!! Siap-siap aja nihhh… https://t.co/ZmQTm1mez2
49,Yuk daftar Technology Workshop “Build Scalable and Fast APIs with gRPC” pada 20 November 2022 dan belajar langsung… https://t.co/Lji0KX1GVb
50,November kira-kira bakal ada apa yaa?
51,"Yang lagi rame nih🧐👀 Katanya si wajib dibawa pas nonton konser, emang iya????

#twitpdp #autohobbies #racuntokped"
52,"Toppers! Weekend ini mau makan enak, tapi bingung di mana? Kini #FestivalJajananBango hadir kembali di Tokopedia NY… https://t.co/UOO0pKg8x2"
53,"RT @tokopedia: ANGELIC SILVER VOCALIST JIN-HYUNG!!!!
FEELS LIKE WARMEST HUG EVER GAK SIH CHINGU???😫😫

SIAPA YANG MAU NANGIS BARENG MINTOOOO…"
54,Barang-barang gemas yang harus banget kamu check out di #KejarDiskon Tokopedia. Selain gemas semua produk ini cuma… https://t.co/maoSqpuU70
55,"Temukan produk-produk istimewa dari makanan, minuman, home care hingga perawatan pribadi di #FestivalJajananBango d… https://t.co/22R4t6vQhD"
